param: sa_Nodes: sa_node_x sa_node_y, sa_node_label :=
1    -2.0    0.0     v1
2    -1.0    1.0     v2
3    -1.0    0.0     v3
4    -1.0   -1.0     v4
5     0.0    0.0     v5
6     1.0    1.0     v6
7     1.0    0.0     v7
8     1.0   -1.0     v8
9     2.0    0.0     v9
;

param: sa_Links: sa_link_nodeA sa_link_nodeB sa_link_length:=
1     1      2       1.0
2     1      3       1.0
3     2      3       1.0
4     3      4       1.0
5     3      5       1.0
6     4      5       1.0
7     5      7       1.0
8     5      8       1.0
9     6      7       1.0
10    7      8       1.0
11    7      9       1.0
;
