param: sa_Nodes: sa_node_x sa_node_y, sa_node_label :=
1 -99.739998 32.45 Abilene
2 -73.8000029 42.6699982 Albany
3 -106.61997 35.119977 Albuquerque
4 -84.4199987 33.7599982 Atlanta
5 -97.7500018 30.3099988 Austin
6 -76.6100008 39.2999992 Baltimore
7 -91.1299968 30.4499996 Baton_Rouge
8 -108.5400006 45.79000104 Billings
9 -86.8000029 33.5299985 Birmingham
10 -100.7699965 46.81000154 Bismarck
11 -71.0199959 42.3400005 Boston
12 -78.860001 42.8899993 Buffalo
13 -79.9899982 32.7900008 Charleston
14 -80.83 35.2 Charlotte
15 -87.680001 41.839997 Chicago
16 -84.5100027 39.1399991 Cincinnati
17 -81.6800014 41.4799992 Cleveland
18 -82.989997 39.990002 Columbus
19 -96.77 32.79 Dallas
20 -104.8700036 39.77000271 Denver
21 -83.0999998 42.3800019 Detroit
22 -106.4396 31.84981 El_Paso
23 -119.790002 36.7800007 Fresno
24 -79.8300018 36.0800024 Greensboro
25 -72.6800003 41.7700004 Hartford
26 -95.39 29.77 Houston
27 -81.660002 30.330003 Jacksonville
28 -94.7300038 39.1199992 Kansas_City
29 -115.2199 36.20999 Las_Vegas
30 -92.35 34.72 Little_Rock
31 -73.6699993 40.5899999 Long_Island
32 -118.410002 34.110001 Los_Angeles
33 -85.7399979 38.2200009 Louisville
34 -90.010004 35.110001 Memphis
35 -80.2099997 25.7800006 Miami
36 -87.9700005 43.0600013 Milwaukee
37 -93.2699973 44.9599988 Minneapolis
38 -86.7799989 36.1699984 Nashville
39 -89.93 30.07 New_Orleans
40 -73.9400035 40.6699983 New_York
41 -74.1699986 40.7200012 Newark
42 -76.2399978 36.9199982 Norfolk
43 -122.2200016 37.77000071 Oakland
44 -97.5100028 35.4700015 Oklahoma_City
45 -96.0100022 41.2599984 Omaha
46 -81.370003 28.4999994 Orlando
47 -75.1299964 40.0099985 Philadelphia
48 -112.0699996 33.54000058 Phoenix
49 -80.13 40.3 Pittsburgh
50 -122.6600035 45.54000072 Portland
51 -71.42 41.82 Providence
52 -78.6600034 35.8199995 Raleigh
53 -77.4700015 37.5299986 Richmond
54 -77.620003 43.1699985 Rochester
55 -121.4700016 38.56999946 Sacramento
56 -111.9300007 40.77999863 Salt_Lake_City
57 -98.510002 29.459997 San_Antonio
58 -117.139999 32.8100017 San_Diego
59 -122.4199987 37.65999942 San_Francisco
60 -121.8499985 37.29999947 San_Jose
61 -119.7200014 34.43000021 Santa_Barbara
62 -75.67 41.4 Scranton
63 -122.3499985 47.61999916 Seattle
64 -117.4100038 47.66999805 Spokane
65 -89.4 39.5 Springfield
66 -90.24 38.64 St_Louis
67 -76.1399993 43.040001 Syracuse
68 -84.28 30.46 Tallahassee
69 -82.4800035 27.9599988 Tampa
70 -83.58 41.659997 Toledo
71 -110.89 32.2 Tucson
72 -95.92 36.13 Tulsa
73 -77.0199965 38.9100003 Washington_DC
74 -80.1299975 26.7499997 West_Palm_Beach
75 -75.5299989 39.7400018 Wilmington
;

param: sa_Links: sa_link_nodeA sa_link_nodeB sa_link_length:=
1 1 19 336.9509334
2 1 22 761.2090776
3 2 11 277.0649613
4 2 67 234.2212201
5 3 19 1133.443119
6 3 20 647.7371779
7 3 22 436.9494668
8 3 29 943.5364333
9 4 9 266.2280948
10 4 14 439.2379644
11 4 27 554.1108875
12 5 26 282.0488176
13 5 57 143.5525064
14 6 47 179.1949651
15 6 49 384.8187539
16 6 73 67.17947405
17 7 26 500.1517957
18 7 39 147.3504058
19 8 10 729.0170987
20 8 20 880.041712
21 8 64 848.8579799
22 9 38 352.382908
23 9 39 582.4644304
24 10 37 738.9401642
25 11 51 79.92293577
26 12 17 336.4337393
27 12 54 126.6263824
28 13 27 379.311106
29 13 52 430.1818131
30 14 24 159.8834469
31 15 21 459.1452686
32 15 36 165.3264805
33 15 65 357.5730073
34 16 18 193.2153767
35 16 33 177.4925816
36 16 73 777.0507392
37 17 18 238.9630572
38 17 70 191.2436294
39 18 49 294.7135669
40 19 26 432.7312491
41 19 30 553.9582807
42 19 44 366.9361351
43 20 45 920.3373588
44 20 56 731.2717231
45 21 70 107.2436957
46 22 57 964.4531908
47 22 71 505.7485307
48 23 29 496.1990407
49 23 32 386.6707817
50 23 43 289.9410618
51 24 33 690.4091794
52 24 52 131.0972102
53 24 53 317.8965469
54 25 31 186.2707622
55 25 51 125.5599482
56 27 46 246.5770348
57 28 45 314.0322058
58 28 66 470.8657976
59 28 72 418.4383844
60 29 48 495.9003239
61 29 56 700.0051286
62 30 34 261.3433471
63 31 40 29.36152283
64 32 58 223.8445086
65 32 61 150.6766134
66 33 38 295.1182142
67 33 66 473.8016755
68 34 38 377.8363294
69 35 69 397.1149107
70 35 74 129.8250315
71 36 37 568.3338475
72 37 45 561.3270039
73 39 68 653.3593336
74 40 41 24.21353477
75 40 62 199.5750874
76 40 75 204.1516726
77 41 47 136.0604521
78 42 52 298.6558234
79 42 75 383.6690534
80 43 55 132.6490217
81 43 56 1135.717402
82 43 59 25.71991716
83 44 72 193.3587768
84 46 74 275.7928548
85 47 62 193.4089904
86 48 58 574.6750816
87 48 71 222.4582756
88 49 62 473.5653806
89 50 55 937.7404056
90 50 56 1221.189289
91 50 63 279.0817311
92 53 73 190.1446685
93 54 67 145.265921
94 59 60 77.16267231
95 60 61 446.9898708
96 62 67 223.7750822
97 63 64 444.2069519
98 65 66 144.0599684
99 68 69 394.0942686
;
